Lab Status,Color,Abdomen,Location Probability
Positive ID,1,1,1
Positive ID,1,1,0.845714061
Positive ID,1,1,0.860751269
Positive ID,1,1,0.84459729
Negative ID,0,0,0.805771279
Negative ID,0,1,0.476120267
Negative ID,1,0,0.677220649
Negative ID,0,0,0.686441395
Negative ID,0,0,0.369624242
Negative ID,1,0,0.773996749
Negative ID,0,0,0.510826152
Negative ID,0,0,0.161469776
Negative ID,0,0,0.583206446
Negative ID,0,0,0.661712914
Negative ID,0,0,0.684543161
Negative ID,0,0,0.827965272
Negative ID,0,0,0.789998517
Negative ID,1,0,0.806721844
Negative ID,0,0,0.786265566
Negative ID,1,0,0.756553219
Negative ID,1,0,0.677402973
Negative ID,0,0,0.339298909
Negative ID,0,0,0.650668354
Negative ID,1,0,0.794497719
Negative ID,0,0,0.761040267
Negative ID,0,1,0.82589148
Negative ID,0,0,0.510826152
Negative ID,1,0,0.357157893
Negative ID,0,0,0.750087102
Negative ID,1,0,0.028051185
Negative ID,0,0,0.651072938
Negative ID,0,0,0.781500024
Negative ID,0,0,0.124151928
Negative ID,0,0,0.76674669
Negative ID,0,1,0.62098671
Negative ID,0,0,0.825748957
Negative ID,0,1,0.58226154
Negative ID,0,1,0.582563477
Negative ID,0,0,0.51852252
Negative ID,0,0,0.580623703
Negative ID,0,0,0.67774776
Negative ID,0,0,0.581684755
Negative ID,0,0,0.305878445
Negative ID,0,1,0.660389517
Negative ID,0,1,0.630996787
Negative ID,0,0,0.566359429
Negative ID,0,1,0.700136494
Negative ID,0,0,0.136849688
Negative ID,0,0,0.169568832
Negative ID,0,0,0.602808373
Negative ID,0,1,0.669529012
Negative ID,0,0,0.607086768
Negative ID,0,0,0.379397593
Negative ID,1,1,0.481989191
Negative ID,1,0,0.475620964
Negative ID,0,1,0.644547819
Negative ID,0,0,0.722761815
Negative ID,0,0,0.225532806
Negative ID,0,0,0.597027446
Negative ID,0,0,0.678935308
Negative ID,0,0,0.654047309
Negative ID,0,0,0.146689076
Negative ID,0,0,0.5878166
Negative ID,0,0,0.806465778
Negative ID,0,1,0.623756805
Negative ID,0,0,0.582506319
Negative ID,0,0,0.723886697
Negative ID,0,0,0.420970535
Negative ID,0,1,0.299798641
Negative ID,1,0,0.459735141
Negative ID,0,0,0.766448935
Negative ID,1,0,0.600487787
Positive ID,1,1,0.841337417
Negative ID,0,0,0.584368206
Negative ID,1,1,0.650499165
Negative ID,0,0,0.633892622
Negative ID,0,0,0.182468766
Negative ID,0,0,0.66904759
Negative ID,0,0,0.646142883
Negative ID,0,1,0.578172092
Negative ID,1,0,0.598074735
Negative ID,1,0,0.809440106
Negative ID,1,1,0.802021697
Negative ID,0,0,0.693767162
Negative ID,0,1,0.454054225
Negative ID,0,1,0.189878283
Negative ID,0,0,0.568322478
Negative ID,0,1,0.598708124
Negative ID,0,1,0.661578318
Negative ID,0,0,0.858845526
Negative ID,0,0,0.65780859
Negative ID,0,1,0.710230229
Negative ID,0,0,0.68749475
Negative ID,0,1,0.721997707
Negative ID,0,0,0.584014651
Negative ID,0,0,0.803622859
Negative ID,0,0,0.673362866
Negative ID,1,0,0.599702879
Negative ID,0,0,0.680947281
Negative ID,0,1,0.476462809
Negative ID,0,0,0.516724061
Negative ID,0,0,0.516653463
Negative ID,0,0,0.795850599
Negative ID,0,0,0.662648335
Negative ID,0,0,0.422460482
Positive ID,1,1,0.840300168
Negative ID,0,0,0.69114275
Negative ID,0,0,0.126732014
Negative ID,0,1,0.69061795
Negative ID,0,0,0.65147516
Negative ID,0,0,0.65020066
Negative ID,0,1,0.628476626
Negative ID,0,0,0.685404506
Negative ID,0,0,0.685404638
Negative ID,0,0,0.592476437
Negative ID,0,0,0.726534453
Negative ID,0,0,0.36870715
Negative ID,0,0,0.599198354
Negative ID,1,0,0.667603029
Negative ID,0,0,0.003948988
Negative ID,0,0,0.678104942
Negative ID,0,0,0.771191527
Negative ID,0,0,0.605198016
Negative ID,0,0,0.454051774
Negative ID,0,0,0.607288963
Negative ID,0,1,0.615856972
Negative ID,0,0,0.520734524
Negative ID,0,0,0.157829538
Negative ID,0,0,0.585139317
Negative ID,0,0,0.822685683
Negative ID,0,1,0.64239813
Negative ID,0,0,0.825282996
Negative ID,0,0,0.828850372
Negative ID,1,0,0.650594867
Negative ID,0,0,0.190079849
Negative ID,0,0,0.150570166
Negative ID,0,0,0.816215579
Negative ID,0,1,0.333614189
Negative ID,0,1,0.658931195
Negative ID,0,0,0.692292482
Negative ID,0,0,0.692288221
Negative ID,0,0,0.68296256
Negative ID,0,1,0.727328207
Negative ID,0,0,0.625993904
Negative ID,0,0,0.003219426
Negative ID,0,0,0.833799886
Negative ID,0,0,0.725925483
Negative ID,0,0,0.607784233
Negative ID,0,0,0.234968026
Positive ID,1,1,0.802248215
Negative ID,0,1,0.228861978
Negative ID,0,0,0.142908
Negative ID,0,0,0.661463298
Negative ID,1,0,0.664847158
Negative ID,0,0,0.628586948
Negative ID,1,0,0.653012404
Negative ID,0,1,0.210840227
Negative ID,0,0,0.152457218
Negative ID,0,1,0.692520042
Negative ID,1,0,0.32934347
Negative ID,0,0,0.706351171
Negative ID,0,1,0.80079239
Negative ID,0,0,0.8513064
Negative ID,0,0,0.690012667
Negative ID,0,0,0.561484707
Negative ID,0,0,0.804599892
Negative ID,0,0,0.456464082
Negative ID,0,0,0.496227227
Negative ID,0,0,0.7912643
Negative ID,0,0,0.512952731
Negative ID,0,1,0.223938837
Negative ID,1,1,0.210412034
Negative ID,0,0,0.069585585
Negative ID,0,0,0.665727715
Negative ID,0,0,0.547876391
Negative ID,0,0,0.63503348
Negative ID,0,0,0.571121288
Negative ID,0,1,0.670118745
Negative ID,0,0,0.137281238
Negative ID,0,1,0.572037117
Negative ID,0,0,0.814322558
Negative ID,0,0,0.669061911
Negative ID,0,0,0.696793351
Negative ID,0,0,0.812979779
Negative ID,0,1,0.570775636
Negative ID,0,0,0.647893828
Negative ID,0,0,0.8091444
Negative ID,0,0,0.123495557
Negative ID,0,0,0.142465695
Negative ID,0,0,0.510823957
Negative ID,0,1,0.468606398
Negative ID,0,0,0.440204893
Negative ID,0,0,0.801259547
Negative ID,0,1,0.205326173
Negative ID,1,0,0.460324343
Negative ID,1,1,0.586283511
Negative ID,1,0,0.629281647
Negative ID,0,0,0.461564368
Negative ID,0,0,0.632694774
Negative ID,1,0,0.681890707
Negative ID,0,1,0.368046145
Negative ID,0,0,0.460208426
Negative ID,0,0,0.789231783
Negative ID,0,1,0.797667065
Negative ID,1,0,0.356186159
Negative ID,0,1,0.661591395
Negative ID,0,0,0.80718463
Negative ID,0,0,0.661067404
Negative ID,0,0,0.599017327
Negative ID,0,0,0.826745006
Negative ID,0,0,0.228411071
Negative ID,1,0,0.105594379
Negative ID,0,0,0.792912189
Negative ID,0,1,0.666090466
Negative ID,1,0,0.381787027
Negative ID,0,1,0.323233542
Negative ID,0,0,0.794372865
Negative ID,0,0,0.149282106
Negative ID,0,0,0.64081561
Negative ID,0,1,0.665240232
Negative ID,0,0,0.274953754
Negative ID,0,0,0.627995521
Negative ID,0,1,0.658340255
Negative ID,0,0,0.85207665
Negative ID,0,0,0.852276021
Negative ID,0,0,0.639471466
Negative ID,0,0,0.646643522
Negative ID,1,0,0.58739863
Negative ID,0,0,0.165188705
Negative ID,0,0,0.510823957
Negative ID,1,0,0.791766256
Negative ID,0,0,0.748079926
Negative ID,0,1,0.215400769
Negative ID,0,1,0.59930805
Negative ID,0,0,0.806347036
Negative ID,1,0,0.653901489
Negative ID,0,0,0.469759765
Negative ID,0,1,0.369523997
Negative ID,1,0,0.665936775
Negative ID,0,0,0.583708011
Negative ID,0,1,0.596709873
Negative ID,0,1,0.213471488
Negative ID,0,0,0.660564891
Negative ID,0,1,0.697517484
Negative ID,0,0,0.687723466
Negative ID,0,1,0.662517372
Negative ID,0,0,0.625883431
Negative ID,0,1,0.599144889
Negative ID,0,0,0.451531914
Negative ID,0,1,0.605695413
Negative ID,0,0,0.597124336
Negative ID,0,1,0.688299325
Negative ID,1,1,0.578135702
Negative ID,0,0,0.58676723
Negative ID,1,0,0.463605467
Negative ID,1,0,0.151567023
Negative ID,1,0,0.586367602
Negative ID,0,0,0.641647957
Negative ID,0,1,0.79713607
Negative ID,0,0,0.685656956
Negative ID,0,1,0.477014541
Negative ID,1,1,0.808452479
Negative ID,0,0,0.826908662
Negative ID,0,0,0.461642567
Negative ID,0,0,0.575733913
Negative ID,1,0,0.201419378
Negative ID,0,0,0.459087842
Negative ID,0,1,0.818412894
Negative ID,0,0,0.209956679
Negative ID,0,0,0.261063727
Negative ID,0,0,0.758083847
Negative ID,1,1,0.360563256
Negative ID,0,0,0.34263667
Negative ID,0,1,0.613211959
Negative ID,0,0,0.240847813
Negative ID,1,1,0.674011153
Negative ID,0,0,0.790054671
Negative ID,0,0,0.708996534
Negative ID,0,0,0.692249599
Negative ID,0,1,0.598528238
Negative ID,0,0,0.362511517
Negative ID,0,0,0.56318032
Negative ID,0,0,0.808174663
Negative ID,0,0,0.56656102
Negative ID,1,0,0.465552483
Negative ID,0,0,0.396317591
Negative ID,0,0,0.154640656
Negative ID,0,0,0.460657286
Negative ID,0,0,0.85172774
Negative ID,0,1,0.680312697
Negative ID,1,0,0.204941163
Negative ID,0,0,0.809741198
Negative ID,0,0,0.204697905
Negative ID,0,0,0.455392847
Negative ID,1,0,0.406015461
Negative ID,0,0,0.325220546
Negative ID,1,0,0.473207047
Negative ID,1,1,0.466169042
Negative ID,0,0,0.701227915
Negative ID,1,1,0.443525638
Negative ID,1,1,0.662030162
Negative ID,0,1,0.694915783
Negative ID,0,1,0.670067846
Negative ID,0,0,0.62590625
Negative ID,0,1,0.835689843
Negative ID,1,0,0.666113235
Negative ID,0,0,0.128052632
Negative ID,0,0,0.466359797
Negative ID,0,0,0.680052264
Negative ID,0,0,0.460657286
Negative ID,1,1,0.613286045
Negative ID,1,1,0.458962956
Negative ID,1,0,0.476728081
Negative ID,1,1,0.444530462
Negative ID,0,1,0.597057827
Negative ID,0,0,0.611981083
Negative ID,0,1,0.624308081
Negative ID,0,0,0.629670217
Negative ID,0,0,0.819199987
Negative ID,0,0,0.661482477
Negative ID,0,0,0.551972845
Negative ID,0,0,0.20338376
Negative ID,0,0,0.324879983
Negative ID,0,0,0.455584972
Negative ID,1,0,0.172903737
Negative ID,0,0,0.245209319
Negative ID,0,1,0.661347796
Negative ID,0,0,0.023176943
Negative ID,0,1,0.681453059
Negative ID,1,0,0.345122303
Negative ID,1,0,0.311509106
Negative ID,0,0,0.80684653
Negative ID,1,1,0.619039744
Negative ID,0,0,0.64921469
Negative ID,0,0,0.204992594
Negative ID,1,0,0.004648693
Negative ID,0,1,0.626394433
Negative ID,0,1,0.6864764
Negative ID,0,0,0.633169253
Negative ID,0,0,0.828521803
Negative ID,1,1,0.635209384
Negative ID,0,1,0.108061016
Negative ID,0,0,0.148478196
Negative ID,0,0,0.358999703
Negative ID,0,0,0.667242302
Negative ID,1,1,0.48898832
Negative ID,0,1,0.769895862
Negative ID,0,0,0.455182931
Negative ID,0,0,0.641452763
Negative ID,0,0,0.457852685
Negative ID,1,1,0.445778453
Negative ID,0,1,0.158810851
Negative ID,0,0,0.453086422
Negative ID,1,1,0.454725755
Negative ID,1,1,0.453176753
Negative ID,1,1,0.378019964
Negative ID,0,0,0.392397179
Negative ID,0,0,0.793301562
Negative ID,0,1,0.616947595
Negative ID,0,0,0.363560539
Negative ID,0,0,0.382597507
Negative ID,0,0,0.43083429
Negative ID,0,0,0.630793029
Negative ID,0,0,0.349835681
Negative ID,0,1,0.362682693
Negative ID,0,1,0.313013497
Negative ID,1,0,0.362707293
Negative ID,0,0,0.09947511
Negative ID,0,1,0.334820964
Negative ID,0,0,0.562402981
Negative ID,0,0,0.188446912
Negative ID,1,1,0.461764747
Negative ID,0,0,0.454560513
Negative ID,0,1,0.66071704
Negative ID,0,0,0.337844647
Negative ID,0,0,0.594217861
Negative ID,0,0,0.480314336
Negative ID,0,0,0.629464552
Negative ID,0,1,0.463996152
Negative ID,1,1,0.238710036
Negative ID,0,1,0.661514137
Negative ID,0,1,0.59932861
Negative ID,1,1,0.462516749
Negative ID,1,1,0.761973983
Negative ID,0,0,0.363639217
Negative ID,0,1,0.437964654
Negative ID,0,0,0.360675195
Negative ID,0,0,0.449029181
Negative ID,0,0,0.322279634
Negative ID,0,0,0.372773872
Negative ID,0,0,0.677857771
Negative ID,0,0,0.218884314
Negative ID,0,0,0.84134566
Negative ID,0,0,0.66717736
Negative ID,0,0,0.668235801
Negative ID,1,1,0.316197286
Negative ID,0,1,0.4625961
Negative ID,0,0,0.360841563
Negative ID,0,0,0.159160007
Negative ID,0,0,0.860871382
Negative ID,0,0,0.476949024
Negative ID,0,0,0.559546524
Negative ID,1,0,0.645525108
Negative ID,0,0,0.310210556
Negative ID,0,0,0.856330894
Negative ID,0,1,0.269029064
Negative ID,1,0,0.584194206
Negative ID,0,0,0.677588241
Negative ID,0,0,0.687185408
Negative ID,0,1,0.605505533
Negative ID,0,1,0.337171707
Negative ID,0,0,0.270565617
Negative ID,0,1,0.31212666
Negative ID,1,0,0.366438751
Negative ID,0,1,0.664257783
Negative ID,1,0,0.606490464
Negative ID,0,1,0.632828411
Negative ID,1,0,0.621353874
Negative ID,1,0,0.366899597
Negative ID,0,0,0.490051688
Negative ID,0,0,0.603645128
Negative ID,0,1,0.657185767
Negative ID,0,0,0.650437699
Positive ID,1,1,0.848845762
Negative ID,0,0,0.846944587
Negative ID,1,0,0.703653265
Negative ID,0,0,0.686239391
Negative ID,0,0,0.621161181
Negative ID,1,0,0.682850305
Negative ID,0,0,0.467687337
Negative ID,1,0,0.606414656
Negative ID,0,1,0.609858508
Negative ID,0,0,0.585335191
Negative ID,0,0,0.661407732
Negative ID,0,0,0.645012951
Negative ID,1,0,0.660784239
Negative ID,1,0,0.709291654
Negative ID,0,0,0.604107744
Negative ID,0,0,0.603057616
Negative ID,0,0,0.659702264
Negative ID,0,0,0.698970283
Negative ID,0,0,0.597454982
Negative ID,0,0,0.383036001
Negative ID,0,0,0.684264118
Negative ID,0,0,0.608780403
Negative ID,1,1,0.632635738
Negative ID,0,0,0.175925788
Negative ID,0,0,0.628619948
Negative ID,1,0,0.50546793
Negative ID,0,0,0.616267705
Negative ID,0,0,0.628847757
Negative ID,0,0,0.510823957
Negative ID,0,0,0.820364207
Negative ID,0,0,0.479636975
Negative ID,0,0,0.604107744
Negative ID,0,0,0.687316441
Negative ID,0,0,0.748819463
Negative ID,0,0,0.667190306
Negative ID,0,0,0.60599141
Negative ID,0,0,0.646922196
Negative ID,0,0,0.613169837
Negative ID,0,0,0.801276859
Negative ID,0,0,0.684607743
Negative ID,1,0,0.729385972
Negative ID,0,0,0.778967457
Negative ID,0,0,0.510823957
Negative ID,0,0,0.760657584
Negative ID,0,0,0.748288019
Negative ID,0,0,0.749956808
Negative ID,0,0,0.691891465
Negative ID,0,0,0.831386944
Negative ID,1,0,0.669716875
Negative ID,0,0,0.799189007
Negative ID,0,0,0.778229009
Negative ID,0,0,0.63377726
Negative ID,0,0,0.728759743
Negative ID,0,0,0.632998556
Negative ID,1,0,0.581358662
Negative ID,0,0,0.855817562
Negative ID,0,0,0.607089214
Negative ID,0,0,0.603214502
Negative ID,1,0,0.652440467
Negative ID,0,0,0.3294813
Negative ID,0,0,0.55716756
Negative ID,1,0,0.851339067
Negative ID,1,0,0.610229493
Negative ID,0,0,0.623582321
Negative ID,0,0,0.733420075
Negative ID,0,0,0.851865673
Negative ID,0,0,0.700530504
Negative ID,1,0,0.68051378
Negative ID,1,0,0.758166536
Negative ID,0,0,0.579790148
Negative ID,0,0,0.632942757
Negative ID,1,0,0.708266001
Negative ID,0,0,0.661585448
Negative ID,1,0,0.675347058
Negative ID,0,0,0.617414487
Negative ID,0,0,0.747177847
Negative ID,0,0,0.851659669
Negative ID,1,0,0.568966895
Negative ID,0,0,0.819736831
Negative ID,0,0,0.452891187
Negative ID,0,0,0.710045354
Negative ID,0,0,0.642013987
Negative ID,0,0,0.700876375
Negative ID,1,0,0.790677156
Negative ID,0,0,0.419260687
Negative ID,0,0,0.636110224
Negative ID,0,0,0.762722232
Negative ID,0,0,0.802331278
Negative ID,1,0,0.598716503
Negative ID,0,0,0.628847521
Negative ID,0,0,0.84859488
Negative ID,0,0,0.683254141
Negative ID,0,0,0.609183399
Negative ID,0,0,0.659648854
Negative ID,0,0,0.672047346
Negative ID,0,0,0.803909213
Negative ID,0,0,0.687723466
Negative ID,0,0,0.684286974
Negative ID,0,0,0.674003702
Negative ID,0,0,0.65173652
Negative ID,0,0,0.815538902
Negative ID,0,0,0.611893782
Negative ID,1,0,0.537032871
Negative ID,1,0,0.596073428
Negative ID,0,0,0.843157652
Negative ID,0,0,0.780388037
Negative ID,1,0,0.658913176
Negative ID,0,0,0.594368594
Negative ID,0,0,0.598493678
Negative ID,1,0,0.807336458
Negative ID,0,0,0.688047317
Negative ID,0,0,0.448732872
Negative ID,0,0,0.675787796
Negative ID,0,0,0.724641247
Negative ID,0,0,0.777690905
Negative ID,0,0,0.553339755
Negative ID,0,0,0.609577498
Negative ID,0,1,0.32071537
Negative ID,1,0,0.635047578
Negative ID,0,0,0.619770792
Negative ID,1,0,0.643991068
Negative ID,0,0,0.682409965
Negative ID,0,0,0.666817613
Negative ID,0,0,0.723261241
Negative ID,0,0,0.55904336
Negative ID,0,0,0.674612871
Negative ID,1,0,0.66408894
Negative ID,0,0,0.672375225
Negative ID,0,0,0.806465778
Negative ID,0,0,0.787761819
Negative ID,1,0,0.66479967
Negative ID,0,0,0.65973198
Negative ID,0,0,0.58938508
Negative ID,1,0,0.594800078
Negative ID,0,0,0.158360065
Negative ID,0,0,0.762350174
Negative ID,0,0,0.718514556
Negative ID,0,0,0.640134766
Negative ID,1,0,0.654974715
Negative ID,0,0,0.501679209
Negative ID,0,0,0.799205738
Negative ID,0,0,0.646582522
Negative ID,0,0,0.585036597
Negative ID,0,0,0.591954555
Negative ID,0,0,0.610415929
Negative ID,1,0,0.510823957
Negative ID,0,0,0.645451372
Negative ID,1,0,0.586241022
Negative ID,0,0,0.693176496
Negative ID,0,0,0.57501769
Negative ID,1,0,0.669203265
Negative ID,1,0,0.668571916
Negative ID,1,0,0.715754908
Negative ID,0,0,0.837816837
Negative ID,0,0,0.45220553
Negative ID,0,0,0.457848494
Negative ID,0,0,0.779508386
Negative ID,0,0,0.610022882
Negative ID,1,0,0.795450501
Negative ID,0,0,0.631795294
Negative ID,0,0,0.651879463
Negative ID,0,0,0.510823957
Negative ID,0,0,0.611644952
Negative ID,1,0,0.588503753
Negative ID,0,0,0.558981734
Negative ID,0,0,0.600915963
Negative ID,0,0,0.80213248
Negative ID,0,0,0.801427397
Negative ID,0,0,0.762169951
Negative ID,0,0,0.756103774
Negative ID,1,0,0.611136185
Negative ID,0,0,0.667020206
Negative ID,0,0,0.686513783
Negative ID,0,0,0.510823957
Negative ID,0,0,0.836662994
Negative ID,0,0,0.848621974
Negative ID,0,0,0.750716664
Negative ID,0,0,0.802131326
Negative ID,0,0,0.658913888
Negative ID,0,0,0.196614332
Negative ID,1,0,0.813125306
Negative ID,1,0,0.566211575
Negative ID,0,0,0.795782498
Negative ID,1,0,0.647152391
Negative ID,0,0,0.818440737
Negative ID,0,0,0.733203005
Negative ID,0,0,0.662184042
Negative ID,0,0,0.802393207
Negative ID,0,0,0.696045687
Negative ID,0,0,0.814928994
Negative ID,0,0,0.672070723
Negative ID,1,0,0.688960713
Negative ID,0,0,0.577637572
Negative ID,0,0,0.808146395
Negative ID,0,0,0.68175164
Negative ID,0,0,0.587216836
Negative ID,0,0,0.632467184
Negative ID,0,0,0.614287994
Negative ID,0,0,0.610239677
Negative ID,0,0,0.653666832
Negative ID,0,0,0.793533789
Negative ID,0,0,0.346944512
Negative ID,1,0,0.848242833
Negative ID,0,1,0.439533681
Negative ID,0,0,0.761848266
Negative ID,0,0,0.623714018
Negative ID,0,0,0.828273409
Negative ID,1,0,0.645279739
Negative ID,0,0,0.666384679
Negative ID,0,0,0.579075391
Negative ID,0,1,0.635434242
Negative ID,0,0,0.814850058
Negative ID,0,0,0.127232181
Negative ID,0,0,0.629879971
Negative ID,0,0,0.766327272
Negative ID,0,0,0.789442303
Negative ID,0,0,0.668691613
Negative ID,0,0,0.439703202
Negative ID,0,0,0.690295297
Negative ID,0,0,0.726301677
Negative ID,0,0,0.66516812
Positive ID,1,1,0.831174665
Negative ID,1,0,0.688299325
Negative ID,0,0,0.584747226
Negative ID,0,0,0.598276626
Negative ID,0,0,0.831538756
Negative ID,0,0,0.804040918
Negative ID,0,0,0.847853314
Negative ID,0,0,0.724819794
Negative ID,1,0,0.531290399
Negative ID,0,0,0.826790504
Negative ID,0,0,0.689724546
Negative ID,0,0,0.803478422
Negative ID,0,0,0.498385752
Negative ID,0,0,0.745222291
Negative ID,0,0,0.673474105
Negative ID,0,0,0.743902846
Negative ID,0,1,0.469473562
Negative ID,0,0,0.612449108
Negative ID,0,0,0.122164958
Negative ID,0,0,0.328638343
Negative ID,0,0,0.597411709
Negative ID,0,0,0.661051074
Negative ID,1,0,0.642854929
Negative ID,0,0,0.598455717
Negative ID,0,0,0.665987742
Negative ID,0,0,0.691467467
Negative ID,0,0,0.7586959
Negative ID,0,0,0.837007395
Negative ID,0,0,0.774172746
Negative ID,0,0,0.648231167
Negative ID,0,0,0.668727716
Negative ID,0,0,0.745268539
Negative ID,1,0,0.593787319
Negative ID,0,0,0.661218028
Positive ID,1,1,0.831163035
Negative ID,0,1,0.60015198
Negative ID,0,0,0.312253495
Negative ID,0,0,0.660108421
Negative ID,1,0,0.15836323
Negative ID,0,0,0.675957986
Negative ID,0,0,0.601002128
Positive ID,1,1,0.831160629
Negative ID,0,0,0.662850005
Negative ID,0,0,0.575397349
Negative ID,0,0,0.693866446
Negative ID,1,0,0.604112306
Negative ID,0,0,0.739191796
Negative ID,0,0,0.625002812
Negative ID,1,0,0.823836179
Positive ID,1,1,0.83178252
Negative ID,0,1,0.361216467
Negative ID,0,0,0.710380996
Negative ID,0,0,0.667646622
Negative ID,0,1,0.364102898
Positive ID,1,1,0.832056549
Negative ID,0,0,0.650411724
Negative ID,0,1,0.487619293
Negative ID,0,0,0.594003832
Negative ID,0,0,0.689420606
Negative ID,0,0,0.672721858
Negative ID,0,0,0.697038341
Negative ID,0,0,0.702055074
Negative ID,0,0,0.582488903
Negative ID,0,0,0.584378393
Negative ID,0,0,0.835897694
Negative ID,1,0,0.659784764
Negative ID,1,0,0.058723802
Negative ID,0,0,0.603136275
Negative ID,0,0,0.811771027
Negative ID,0,0,0.776481116
Negative ID,0,0,0.610499123
Negative ID,0,0,0.606708113
Negative ID,0,0,0.57920986
Negative ID,0,0,0.663074564
Negative ID,0,0,0.729992697
Negative ID,0,0,0.363857937
Negative ID,0,0,0.63454941
Negative ID,0,0,0.749195999
Negative ID,0,0,0.660473914
Negative ID,0,0,0.693772567
Negative ID,0,0,0.645637142
Negative ID,0,0,0.621110708
Negative ID,1,0,0.703760848
Negative ID,0,0,0.607299779
Negative ID,0,0,0.5851818
Negative ID,0,0,0.769317539
Negative ID,0,0,0.710625047
Negative ID,0,0,0.803227831
Negative ID,0,0,0.616987791
Negative ID,0,0,0.61369261
Negative ID,1,0,0.674114286
Negative ID,0,0,0.849514559
Negative ID,0,0,0.633706861
Negative ID,1,0,0.591268747
Negative ID,0,0,0.606534234
Negative ID,0,1,0.458637252
Negative ID,0,0,0.642047808
Negative ID,0,0,0.654712029
Negative ID,0,1,0.204187706
Negative ID,0,0,0.535373354
Negative ID,0,0,0.652670823
Negative ID,0,0,0.633098533
Negative ID,0,0,0.576749852
Negative ID,0,0,0.689215979
Negative ID,0,1,0.638069674
Negative ID,0,0,0.373681387
Negative ID,0,0,0.665284989
Negative ID,1,0,0.836337889
Negative ID,0,0,0.576560807
Negative ID,1,0,0.613575308
Negative ID,0,0,0.594199827
Negative ID,0,0,0.229326411
Negative ID,0,0,0.608331671
Negative ID,0,0,0.758054401
Negative ID,0,0,0.197214231
Negative ID,0,1,0.162571379
Negative ID,0,0,0.803795452
Negative ID,0,0,0.662937356
Negative ID,0,1,0.6625079
Negative ID,1,0,0.776511063
Negative ID,1,0,0.553807285
Negative ID,0,1,0.135116288
Negative ID,0,0,0.327067235
Negative ID,0,0,0.224258685
Negative ID,0,1,0.199308204
Negative ID,1,1,0.263998675
Negative ID,0,0,0.425997816
Negative ID,0,1,0.374817529
Negative ID,1,0,0.854547267
Negative ID,1,1,0.603582148
Negative ID,0,0,0.795361412
